fecha,macrosector_id,ise_var_anual,macrosector
2015-01,M01,2.9801,Agropecuario
2015-02,M01,2.6462,Agropecuario
2015-03,M01,2.9813,Agropecuario
2015-04,M01,3.2887,Agropecuario
2015-05,M01,2.9136,Agropecuario
2015-06,M01,3.0476,Agropecuario
2015-07,M01,3.4464,Agropecuario
2015-08,M01,4.0314,Agropecuario
2015-09,M01,4.3788,Agropecuario
2015-10,M01,4.263,Agropecuario
2015-11,M01,4.3,Agropecuario
2015-12,M01,4.3,Agropecuario
2016-01,M01,-1.8721,Agropecuario
2016-02,M01,-0.0289,Agropecuario
2016-03,M01,0.8593,Agropecuario
2016-04,M01,0.4929,Agropecuario
2016-05,M01,0.1293,Agropecuario
2016-06,M01,0.4499,Agropecuario
2016-07,M01,-1.4419,Agropecuario
2016-08,M01,0.0186,Agropecuario
2016-09,M01,0.7297,Agropecuario
2016-10,M01,1.162,Agropecuario
2016-11,M01,2.2825,Agropecuario
2016-12,M01,2.7367,Agropecuario
2017-01,M01,9.9076,Agropecuario
2017-02,M01,9.1701,Agropecuario
2017-03,M01,9.1233,Agropecuario
2017-04,M01,7.6302,Agropecuario
2017-05,M01,7.8074,Agropecuario
2017-06,M01,8.6668,Agropecuario
2017-07,M01,9.575,Agropecuario
2017-08,M01,8.4637,Agropecuario
2017-09,M01,7.7621,Agropecuario
2017-10,M01,7.1286,Agropecuario
2017-11,M01,6.2393,Agropecuario
2017-12,M01,5.5763,Agropecuario
2018-01,M01,2.2653,Agropecuario
2018-02,M01,1.8013,Agropecuario
2018-03,M01,2.1582,Agropecuario
2018-04,M01,3.3017,Agropecuario
2018-05,M01,3.6895,Agropecuario
2018-06,M01,2.4748,Agropecuario
2018-07,M01,2.8355,Agropecuario
2018-08,M01,2.2804,Agropecuario
2018-09,M01,1.9197,Agropecuario
2018-10,M01,1.981,Agropecuario
2018-11,M01,1.7863,Agropecuario
2018-12,M01,1.5939,Agropecuario
2019-01,M01,1.0944,Agropecuario
2019-02,M01,1.0586,Agropecuario
2019-03,M01,-0.0532,Agropecuario
2019-04,M01,0.3552,Agropecuario
2019-05,M01,1.4677,Agropecuario
2019-06,M01,1.3214,Agropecuario
2019-07,M01,1.6548,Agropecuario
2019-08,M01,2.0887,Agropecuario
2019-09,M01,2.1415,Agropecuario
2019-10,M01,2.3962,Agropecuario
2019-11,M01,2.4481,Agropecuario
2019-12,M01,2.7173,Agropecuario
2020-01,M01,5.9244,Agropecuario
2020-02,M01,6.787,Agropecuario
2020-03,M01,5.3896,Agropecuario
2020-04,M01,4.5236,Agropecuario
2020-05,M01,2.4187,Agropecuario
2020-06,M01,2.1977,Agropecuario
2020-07,M01,1.9811,Agropecuario
2020-08,M01,1.3525,Agropecuario
2020-09,M01,1.7782,Agropecuario
2020-10,M01,1.5157,Agropecuario
2020-11,M01,1.4356,Agropecuario
2020-12,M01,1.9607,Agropecuario
2021-01,M01,-0.7926,Agropecuario
2021-02,M01,-1.2902,Agropecuario
2021-03,M01,3.8795,Agropecuario
2021-04,M01,5.786,Agropecuario
2021-05,M01,4.2811,Agropecuario
2021-06,M01,5.0506,Agropecuario
2021-07,M01,4.9097,Agropecuario
2021-08,M01,4.6176,Agropecuario
2021-09,M01,4.5505,Agropecuario
2021-10,M01,4.6447,Agropecuario
2021-11,M01,4.8419,Agropecuario
2021-12,M01,4.3735,Agropecuario
2022-01,M01,-0.1666,Agropecuario
2022-02,M01,0.9547,Agropecuario
2022-03,M01,-1.4006,Agropecuario
2022-04,M01,-1.7103,Agropecuario
2022-05,M01,0.6308,Agropecuario
2022-06,M01,0.3186,Agropecuario
2022-07,M01,-0.14,Agropecuario
2022-08,M01,0.388,Agropecuario
2022-09,M01,-0.0438,Agropecuario
2022-10,M01,-0.4933,Agropecuario
2022-11,M01,-0.6832,Agropecuario
2022-12,M01,-0.9074,Agropecuario
2023-01,M01,1.825,Agropecuario
2023-02,M01,0.6668,Agropecuario
2023-03,M01,0.9124,Agropecuario
2023-04,M01,-0.7504,Agropecuario
2023-05,M01,-0.648,Agropecuario
2023-06,M01,-0.2393,Agropecuario
2023-07,M01,0.0139,Agropecuario
2023-08,M01,0.0512,Agropecuario
2023-09,M01,0.309,Agropecuario
2023-10,M01,0.7528,Agropecuario
2023-11,M01,1.3933,Agropecuario
2023-12,M01,1.6486,Agropecuario
2024-01,M01,8.1583,Agropecuario
2024-02,M01,8.3998,Agropecuario
2024-03,M01,4.1373,Agropecuario
2024-04,M01,5.355,Agropecuario
2024-05,M01,5.7256,Agropecuario
2024-06,M01,5.0227,Agropecuario
2024-07,M01,6.2921,Agropecuario
2024-08,M01,6.4608,Agropecuario
2024-09,M01,6.3386,Agropecuario
2024-10,M01,6.5906,Agropecuario
2024-11,M01,6.0466,Agropecuario
2024-12,M01,6.1279,Agropecuario
2025-01,M01,2.9718,Agropecuario
2025-02,M01,1.7349,Agropecuario
2025-03,M01,5.0015,Agropecuario
2025-04,M01,5.3013,Agropecuario
2025-05,M01,4.7267,Agropecuario
2025-06,M01,4.9141,Agropecuario
2025-07,M01,4.3921,Agropecuario
2025-08,M01,4.1191,Agropecuario
2025-09,M01,4.2956,Agropecuario
2025-10,M01,3.996,Agropecuario
2025-11,M01,3.594,Agropecuario
2025-12,M01,3.1002,Agropecuario
2026-01,M01,-2.6939,Agropecuario
2026-02,M01,-2.4069,Agropecuario
2015-01,M02,-0.5286,Minería y energía
2015-02,M02,-3.5666,Minería y energía
2015-03,M02,-2.61,Minería y energía
2015-04,M02,-0.4391,Minería y energía
2015-05,M02,0.4287,Minería y energía
2015-06,M02,0.1822,Minería y energía
2015-07,M02,-0.0972,Minería y energía
2015-08,M02,-0.5738,Minería y energía
2015-09,M02,-0.7711,Minería y energía
2015-10,M02,-0.9203,Minería y energía
2015-11,M02,-0.8878,Minería y energía
2015-12,M02,-1.0574,Minería y energía
2016-01,M02,-5.1481,Minería y energía
2016-02,M02,-0.6095,Minería y energía
2016-03,M02,-1.7909,Minería y energía
2016-04,M02,-2.716,Minería y energía
2016-05,M02,-3.0522,Minería y energía
2016-06,M02,-3.073,Minería y energía
2016-07,M02,-2.6065,Minería y energía
2016-08,M02,-2.4546,Minería y energía
2016-09,M02,-2.3626,Minería y energía
2016-10,M02,-2.565,Minería y energía
2016-11,M02,-2.7961,Minería y energía
2016-12,M02,-2.8849,Minería y energía
2017-01,M02,-5.0183,Minería y energía
2017-02,M02,-6.8436,Minería y energía
2017-03,M02,-7.054,Minería y energía
2017-04,M02,-6.7047,Minería y energía
2017-05,M02,-5.9322,Minería y energía
2017-06,M02,-5.8522,Minería y energía
2017-07,M02,-5.9563,Minería y energía
2017-08,M02,-5.97,Minería y energía
2017-09,M02,-6.209,Minería y energía
2017-10,M02,-5.7174,Minería y energía
2017-11,M02,-5.7144,Minería y energía
2017-12,M02,-5.7531,Minería y energía
2018-01,M02,-5.0142,Minería y energía
2018-02,M02,-5.6796,Minería y energía
2018-03,M02,-4.6015,Minería y energía
2018-04,M02,-4.2234,Minería y energía
2018-05,M02,-4.3137,Minería y energía
2018-06,M02,-3.7601,Minería y energía
2018-07,M02,-3.485,Minería y energía
2018-08,M02,-2.96,Minería y energía
2018-09,M02,-2.4961,Minería y energía
2018-10,M02,-2.9417,Minería y energía
2018-11,M02,-2.2723,Minería y energía
2018-12,M02,-1.6609,Minería y energía
2019-01,M02,6.8451,Minería y energía
2019-02,M02,5.0622,Minería y energía
2019-03,M02,4.5583,Minería y energía
2019-04,M02,4.3028,Minería y energía
2019-05,M02,3.3137,Minería y energía
2019-06,M02,2.585,Minería y energía
2019-07,M02,2.2537,Minería y energía
2019-08,M02,1.9093,Minería y energía
2019-09,M02,1.7163,Minería y energía
2019-10,M02,2.1716,Minería y energía
2019-11,M02,2.144,Minería y energía
2019-12,M02,1.9245,Minería y energía
2020-01,M02,-5.2618,Minería y energía
2020-02,M02,-2.037,Minería y energía
2020-03,M02,-4.1249,Minería y energía
2020-04,M02,-9.9149,Minería y energía
2020-05,M02,-11.3985,Minería y energía
2020-06,M02,-11.9007,Minería y energía
2020-07,M02,-12.4609,Minería y energía
2020-08,M02,-12.955,Minería y energía
2020-09,M02,-13.9584,Minería y energía
2020-10,M02,-14.148,Minería y energía
2020-11,M02,-14.8107,Minería y energía
2020-12,M02,-15.1901,Minería y energía
2021-01,M02,-16.5904,Minería y energía
2021-02,M02,-15.7701,Minería y energía
2021-03,M02,-12.9539,Minería y energía
2021-04,M02,-7.0685,Minería y energía
2021-05,M02,-5.7283,Minería y energía
2021-06,M02,-4.8999,Minería y energía
2021-07,M02,-4.6439,Minería y energía
2021-08,M02,-4.4961,Minería y energía
2021-09,M02,-2.9546,Minería y energía
2021-10,M02,-2.6329,Minería y energía
2021-11,M02,-1.1635,Minería y energía
2021-12,M02,-0.2051,Minería y energía
2022-01,M02,5.0144,Minería y energía
2022-02,M02,3.1557,Minería y energía
2022-03,M02,1.7096,Minería y energía
2022-04,M02,1.484,Minería y energía
2022-05,M02,2.5046,Minería y energía
2022-06,M02,2.5663,Minería y energía
2022-07,M02,3.6903,Minería y energía
2022-08,M02,4.5104,Minería y energía
2022-09,M02,3.9198,Minería y energía
2022-10,M02,3.4599,Minería y energía
2022-11,M02,2.1653,Minería y energía
2022-12,M02,1.4548,Minería y energía
2023-01,M02,2.0507,Minería y energía
2023-02,M02,1.6857,Minería y energía
2023-03,M02,3.0955,Minería y energía
2023-04,M02,3.0838,Minería y energía
2023-05,M02,3.4911,Minería y energía
2023-06,M02,3.1884,Minería y energía
2023-07,M02,2.8466,Minería y energía
2023-08,M02,2.4278,Minería y energía
2023-09,M02,2.6763,Minería y energía
2023-10,M02,2.5644,Minería y energía
2023-11,M02,2.7889,Minería y energía
2023-12,M02,2.5668,Minería y energía
2024-01,M02,1.4216,Minería y energía
2024-02,M02,-0.5006,Minería y energía
2024-03,M02,-1.7822,Minería y energía
2024-04,M02,-0.3344,Minería y energía
2024-05,M02,-1.0816,Minería y energía
2024-06,M02,-1.5546,Minería y energía
2024-07,M02,-2.042,Minería y energía
2024-08,M02,-2.4225,Minería y energía
2024-09,M02,-2.872,Minería y energía
2024-10,M02,-2.6619,Minería y energía
2024-11,M02,-3.0418,Minería y energía
2024-12,M02,-3.4121,Minería y energía
2025-01,M02,-6.8731,Minería y energía
2025-02,M02,-3.7823,Minería y energía
2025-03,M02,-4.4663,Minería y energía
2025-04,M02,-7.0585,Minería y energía
2025-05,M02,-8.0993,Minería y energía
2025-06,M02,-7.3998,Minería y energía
2025-07,M02,-7.6281,Minería y energía
2025-08,M02,-7.4307,Minería y energía
2025-09,M02,-7.101,Minería y energía
2025-10,M02,-7.2076,Minería y energía
2025-11,M02,-6.9417,Minería y energía
2025-12,M02,-6.1874,Minería y energía
2026-01,M02,-2.6939,Minería y energía
2026-02,M02,-2.4069,Minería y energía
2015-01,M03,-0.0022,Manufactura
2015-02,M03,0.5815,Manufactura
2015-03,M03,0.6991,Manufactura
2015-04,M03,0.5571,Manufactura
2015-05,M03,0.1141,Manufactura
2015-06,M03,0.8679,Manufactura
2015-07,M03,0.867,Manufactura
2015-08,M03,1.202,Manufactura
2015-09,M03,1.3698,Manufactura
2015-10,M03,1.4745,Manufactura
2015-11,M03,1.8588,Manufactura
2015-12,M03,2.0035,Manufactura
2016-01,M03,5.3796,Manufactura
2016-02,M03,5.2679,Manufactura
2016-03,M03,4.9422,Manufactura
2016-04,M03,4.6997,Manufactura
2016-05,M03,4.7802,Manufactura
2016-06,M03,4.9056,Manufactura
2016-07,M03,3.2926,Manufactura
2016-08,M03,3.9474,Manufactura
2016-09,M03,3.8328,Manufactura
2016-10,M03,3.4485,Manufactura
2016-11,M03,3.3488,Manufactura
2016-12,M03,3.2238,Manufactura
2017-01,M03,1.3314,Manufactura
2017-02,M03,-0.0356,Manufactura
2017-03,M03,0.0867,Manufactura
2017-04,M03,-1.0617,Manufactura
2017-05,M03,-1.3815,Manufactura
2017-06,M03,-1.6245,Manufactura
2017-07,M03,-0.8822,Manufactura
2017-08,M03,-1.355,Manufactura
2017-09,M03,-1.5583,Manufactura
2017-10,M03,-1.674,Manufactura
2017-11,M03,-1.6551,Manufactura
2017-12,M03,-1.8164,Manufactura
2018-01,M03,-1.7712,Manufactura
2018-02,M03,-1.3643,Manufactura
2018-03,M03,-0.8341,Manufactura
2018-04,M03,0.2655,Manufactura
2018-05,M03,0.7721,Manufactura
2018-06,M03,0.7247,Manufactura
2018-07,M03,0.9972,Manufactura
2018-08,M03,1.1973,Manufactura
2018-09,M03,1.1662,Manufactura
2018-10,M03,1.4987,Manufactura
2018-11,M03,1.6634,Manufactura
2018-12,M03,1.4753,Manufactura
2019-01,M03,2.06,Manufactura
2019-02,M03,2.0881,Manufactura
2019-03,M03,0.7,Manufactura
2019-04,M03,1.0549,Manufactura
2019-05,M03,1.3609,Manufactura
2019-06,M03,0.9293,Manufactura
2019-07,M03,1.2263,Manufactura
2019-08,M03,1.1354,Manufactura
2019-09,M03,1.1017,Manufactura
2019-10,M03,1.1663,Manufactura
2019-11,M03,0.9021,Manufactura
2019-12,M03,1.2014,Manufactura
2020-01,M03,3.3455,Manufactura
2020-02,M03,2.4007,Manufactura
2020-03,M03,-1.8949,Manufactura
2020-04,M03,-10.7265,Manufactura
2020-05,M03,-14.4079,Manufactura
2020-06,M03,-14.2857,Manufactura
2020-07,M03,-13.6582,Manufactura
2020-08,M03,-13.1802,Manufactura
2020-09,M03,-12.0417,Manufactura
2020-10,M03,-11.028,Manufactura
2020-11,M03,-10.1357,Manufactura
2020-12,M03,-9.249,Manufactura
2021-01,M03,-2.8314,Manufactura
2021-02,M03,-0.6699,Manufactura
2021-03,M03,5.3248,Manufactura
2021-04,M03,15.1547,Manufactura
2021-05,M03,14.7299,Manufactura
2021-06,M03,15.7709,Manufactura
2021-07,M03,15.991,Manufactura
2021-08,M03,16.1366,Manufactura
2021-09,M03,15.5674,Manufactura
2021-10,M03,14.4913,Manufactura
2021-11,M03,14.09,Manufactura
2021-12,M03,13.5931,Manufactura
2022-01,M03,9.1247,Manufactura
2022-02,M03,7.5037,Manufactura
2022-03,M03,7.4719,Manufactura
2022-04,M03,8.0711,Manufactura
2022-05,M03,12.8621,Manufactura
2022-06,M03,12.2948,Manufactura
2022-07,M03,10.9753,Manufactura
2022-08,M03,10.6168,Manufactura
2022-09,M03,10.0452,Manufactura
2022-10,M03,9.5398,Manufactura
2022-11,M03,8.9172,Manufactura
2022-12,M03,8.1595,Manufactura
2023-01,M03,2.913,Manufactura
2023-02,M03,3.1924,Manufactura
2023-03,M03,2.7237,Manufactura
2023-04,M03,1.3425,Manufactura
2023-05,M03,1.0059,Manufactura
2023-06,M03,0.6058,Manufactura
2023-07,M03,0.0867,Manufactura
2023-08,M03,-0.6494,Manufactura
2023-09,M03,-0.9997,Manufactura
2023-10,M03,-1.3129,Manufactura
2023-11,M03,-1.4375,Manufactura
2023-12,M03,-1.6209,Manufactura
2024-01,M03,-2.9416,Manufactura
2024-02,M03,-3.5856,Manufactura
2024-03,M03,-4.7756,Manufactura
2024-04,M03,-3.8031,Manufactura
2024-05,M03,-3.6875,Manufactura
2024-06,M03,-3.8795,Manufactura
2024-07,M03,-3.2154,Manufactura
2024-08,M03,-3.1844,Manufactura
2024-09,M03,-3.2767,Manufactura
2024-10,M03,-2.8567,Manufactura
2024-11,M03,-2.8754,Manufactura
2024-12,M03,-2.5648,Manufactura
2025-01,M03,0.5504,Manufactura
2025-02,M03,0.6602,Manufactura
2025-03,M03,0.7868,Manufactura
2025-04,M03,0.8822,Manufactura
2025-05,M03,1.1268,Manufactura
2025-06,M03,1.2999,Manufactura
2025-07,M03,1.853,Manufactura
2025-08,M03,1.8878,Manufactura
2025-09,M03,2.1845,Manufactura
2025-10,M03,2.1884,Manufactura
2025-11,M03,2.0844,Manufactura
2025-12,M03,1.85,Manufactura
2026-01,M03,-0.9077,Manufactura
2026-02,M03,-0.3598,Manufactura
2015-01,M04,-0.8643,Electricidad y agua
2015-02,M04,-0.6104,Electricidad y agua
2015-03,M04,-0.5688,Electricidad y agua
2015-04,M04,-1.0585,Electricidad y agua
2015-05,M04,-1.2091,Electricidad y agua
2015-06,M04,-1.2546,Electricidad y agua
2015-07,M04,-1.3216,Electricidad y agua
2015-08,M04,-1.2513,Electricidad y agua
2015-09,M04,-1.0189,Electricidad y agua
2015-10,M04,-0.8337,Electricidad y agua
2015-11,M04,-0.77,Electricidad y agua
2015-12,M04,-0.7024,Electricidad y agua
2016-01,M04,1.1537,Electricidad y agua
2016-02,M04,1.2162,Electricidad y agua
2016-03,M04,1.0514,Electricidad y agua
2016-04,M04,0.5774,Electricidad y agua
2016-05,M04,0.1895,Electricidad y agua
2016-06,M04,0.154,Electricidad y agua
2016-07,M04,-0.2112,Electricidad y agua
2016-08,M04,-0.0812,Electricidad y agua
2016-09,M04,-0.1649,Electricidad y agua
2016-10,M04,-0.2313,Electricidad y agua
2016-11,M04,-0.0713,Electricidad y agua
2016-12,M04,-0.0081,Electricidad y agua
2017-01,M04,0.0928,Electricidad y agua
2017-02,M04,0.567,Electricidad y agua
2017-03,M04,0.9768,Electricidad y agua
2017-04,M04,1.78,Electricidad y agua
2017-05,M04,2.1425,Electricidad y agua
2017-06,M04,2.2445,Electricidad y agua
2017-07,M04,2.577,Electricidad y agua
2017-08,M04,2.5657,Electricidad y agua
2017-09,M04,2.6937,Electricidad y agua
2017-10,M04,2.7603,Electricidad y agua
2017-11,M04,2.8247,Electricidad y agua
2017-12,M04,2.8865,Electricidad y agua
2018-01,M04,3.585,Electricidad y agua
2018-02,M04,2.3601,Electricidad y agua
2018-03,M04,2.498,Electricidad y agua
2018-04,M04,2.4073,Electricidad y agua
2018-05,M04,2.4123,Electricidad y agua
2018-06,M04,2.478,Electricidad y agua
2018-07,M04,2.642,Electricidad y agua
2018-08,M04,2.7222,Electricidad y agua
2018-09,M04,2.6389,Electricidad y agua
2018-10,M04,2.6011,Electricidad y agua
2018-11,M04,2.607,Electricidad y agua
2018-12,M04,2.5487,Electricidad y agua
2019-01,M04,2.6808,Electricidad y agua
2019-02,M04,3.1835,Electricidad y agua
2019-03,M04,2.7801,Electricidad y agua
2019-04,M04,2.9417,Electricidad y agua
2019-05,M04,3.0304,Electricidad y agua
2019-06,M04,2.9356,Electricidad y agua
2019-07,M04,2.8687,Electricidad y agua
2019-08,M04,2.807,Electricidad y agua
2019-09,M04,2.7696,Electricidad y agua
2019-10,M04,2.6705,Electricidad y agua
2019-11,M04,2.5133,Electricidad y agua
2019-12,M04,2.52,Electricidad y agua
2020-01,M04,2.4322,Electricidad y agua
2020-02,M04,2.7257,Electricidad y agua
2020-03,M04,1.3804,Electricidad y agua
2020-04,M04,-1.5689,Electricidad y agua
2020-05,M04,-3.2447,Electricidad y agua
2020-06,M04,-3.825,Electricidad y agua
2020-07,M04,-4.1546,Electricidad y agua
2020-08,M04,-4.3836,Electricidad y agua
2020-09,M04,-4.4309,Electricidad y agua
2020-10,M04,-4.2316,Electricidad y agua
2020-11,M04,-4.0313,Electricidad y agua
2020-12,M04,-3.83,Electricidad y agua
2021-01,M04,-2.5209,Electricidad y agua
2021-02,M04,-2.087,Electricidad y agua
2021-03,M04,-0.5895,Electricidad y agua
2021-04,M04,2.2638,Electricidad y agua
2021-05,M04,3.2065,Electricidad y agua
2021-06,M04,3.9929,Electricidad y agua
2021-07,M04,4.7133,Electricidad y agua
2021-08,M04,5.0858,Electricidad y agua
2021-09,M04,5.4876,Electricidad y agua
2021-10,M04,5.7468,Electricidad y agua
2021-11,M04,5.8526,Electricidad y agua
2021-12,M04,5.8311,Electricidad y agua
2022-01,M04,6.1574,Electricidad y agua
2022-02,M04,5.5738,Electricidad y agua
2022-03,M04,5.7679,Electricidad y agua
2022-04,M04,5.9461,Electricidad y agua
2022-05,M04,6.7902,Electricidad y agua
2022-06,M04,6.5902,Electricidad y agua
2022-07,M04,6.168,Electricidad y agua
2022-08,M04,5.9463,Electricidad y agua
2022-09,M04,5.4335,Electricidad y agua
2022-10,M04,5.0299,Electricidad y agua
2022-11,M04,4.818,Electricidad y agua
2022-12,M04,4.6087,Electricidad y agua
2023-01,M04,2.642,Electricidad y agua
2023-02,M04,2.5792,Electricidad y agua
2023-03,M04,2.3683,Electricidad y agua
2023-04,M04,2.101,Electricidad y agua
2023-05,M04,2.148,Electricidad y agua
2023-06,M04,2.3882,Electricidad y agua
2023-07,M04,2.2503,Electricidad y agua
2023-08,M04,2.478,Electricidad y agua
2023-09,M04,2.8539,Electricidad y agua
2023-10,M04,2.9975,Electricidad y agua
2023-11,M04,3.0735,Electricidad y agua
2023-12,M04,3.156,Electricidad y agua
2024-01,M04,4.8739,Electricidad y agua
2024-02,M04,4.694,Electricidad y agua
2024-03,M04,5.3495,Electricidad y agua
2024-04,M04,5.287,Electricidad y agua
2024-05,M04,4.7619,Electricidad y agua
2024-06,M04,4.0721,Electricidad y agua
2024-07,M04,3.9403,Electricidad y agua
